file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
Apr-14,28553,4224,2.320075758,1.041666667,1.893939394,0.165719697,0.09469697,0.804924242,0.260416667,543.3475379,385,165,1.719933712,5.224195076,924,1.278409091
May-14,30556,4651,2.30058052,1.139539884,1.849064717,0.301010535,0.107503763,0.752526338,0.150505268,527.2199527,356,151,1.684368953,5.099118469,974,1.161040636
Jun-14,26330,3942,2.004058853,0.684931507,2.33384069,0.025367834,0.152207002,1.217656012,0.279046169,534.1197362,322,148,1.673008625,5.137747336,904,1.319127347
Aug-14,33157,5018,2.491032284,1.03626943,2.351534476,0.099641291,0.099641291,1.016341172,0.278995616,533.1606218,314,145,1.697489039,5.167995217,1105,1.454762854
Sep-14,31130,4722,2.435408725,0.635324015,2.308343922,0.14824227,0.021177467,1.016518424,0.190597205,529.9872935,361,153,1.686361711,5.102710716,1000,1.80008471
Oct-14,31065,4712,2.398132428,0.594227504,1.549235993,0.106112054,0.191001698,0.657894737,0.148556876,528.8837012,402,170,1.677207131,5.082342954,884,1.803904924
Nov-14,34962,5246,2.439954251,0.705299276,2.592451392,0.057186428,0.152497141,1.124666413,0.038124285,538.238658,351,173,1.703583683,5.192718262,1026,1.734654975
Dec-14,27387,4115,2.187120292,0.607533414,2.211421628,0.07290401,0.024301337,1.166464156,0.170109356,532.636695,344,164,1.680437424,5.109356015,888,1.579586877
Jan-15,27472,4162,1.633829889,0.384430562,1.970206631,0.192215281,0.120134551,0.985103316,0.264296012,523.8346949,480,201,1.64175877,5.008649688,879,1.249399327
Feb-15,30164,4593,2.024820379,0.740256913,1.93773133,0.108861311,0.152405835,0.827345961,0.108861311,525.8436752,402,177,1.657522317,5.058785108,921,1.284563466
Mar-15,31099,4614,1.733853489,1.105331599,1.972258344,0.195058518,0.086692674,0.866926745,0.130039012,540.615518,421,176,1.692457737,5.172735154,1003,0.62852189
Apr-15,26426,3946,2.230106437,1.064368981,1.875316776,0.228079067,0.076026356,0.709579321,0.152052712,535.8590978,390,175,1.685504308,5.125950329,874,1.165737456
May-15,33954,5146,2.254178002,0.621842208,2.059852312,0.136027983,0.136027983,0.738437621,0.155460552,527.1472989,473,208,1.655849203,5.082199767,948,1.632335795
Jun-15,29020,4313,2.41131463,0.695571528,1.924414561,0.208671458,0.069557153,0.927428704,0.139114306,537.9550197,447,183,1.707396244,5.19290517,951,1.715743102
Jul-15,34707,5225,1.684210526,0.803827751,1.933014354,0.306220096,0.09569378,0.765550239,0.114832536,532.4784689,454,189,1.698947368,5.149090909,1024,0.880382775
Aug-15,39746,5987,2.188074161,0.985468515,1.720394187,0.13362285,0.233839987,0.718222816,0.116919993,534.7586437,472,206,1.70736596,5.173375647,1060,1.202605646
Sep-15,30500,4493,2.715334966,0.623191631,2.225684398,0.178054752,0.178054752,0.756732695,0.178054752,547.8967282,365,167,1.741375473,5.239483641,933,2.092143334
Oct-15,47176,7005,2.298358315,0.670949322,2.012847966,0.085653105,0.185581727,0.785153462,0.22840828,541.7273376,637,259,1.722055675,5.20856531,1171,1.627408994
Nov-15,37356,5589,2.37967436,0.662014672,2.03972088,0.035784577,0.196815173,0.518876364,0.089461442,535.9456074,490,206,1.678475577,5.133118626,991,1.717659689
Dec-15,30320,4454,1.571621015,0.718455321,1.616524472,0.067355186,0.089806915,0.696003592,0.224517288,547.8895375,377,159,1.707678491,5.176919623,908,0.853165694
Jan-16,35670,5219,1.973558153,0.440697452,2.01187967,0.114964553,0.134125311,0.843073386,0.229929105,548.7258095,532,213,1.720827745,5.201571182,970,1.532860701
Feb-16,37921,5703,2.437313695,0.438365772,2.104155708,0.122742416,0.122742416,0.859196914,0.175346309,536.9630019,434,185,1.701034543,5.168332457,1010,1.998947922
Mar-16,30411,4458,1.839389861,0.807537012,1.996410947,0.314042171,0.201884253,0.560789592,0.201884253,549.3943472,418,170,1.720278152,5.23059668,900,1.031852849
Apr-16,28830,4231,1.91444103,0.874497755,2.647128338,0.567241787,0.259985819,0.874497755,0.141810447,551.2408414,354,139,1.751831718,5.30489246,913,1.039943276
May-16,39838,5921,2.246242189,0.810673873,2.212464111,0.540449248,0.185779429,0.895119068,0.219557507,543.4723864,445,173,1.731295389,5.235939875,1058,1.435568316
Jul-16,32684,4835,2.461220269,0.558428128,1.571871768,0.868665977,0.227507756,0.558428128,0.186142709,548.1282316,319,141,1.771871768,5.292864529,960,1.902792141
Aug-16,45309,6759,2.1009025,0.739754402,1.523894067,0.458647729,0.251516497,0.650983873,0.22192632,543.7342802,405,178,1.747003995,5.25048084,1152,1.361148099
Sep-16,33624,4984,1.745585875,0.802568218,1.384430177,0.321027287,0.120385233,0.521669342,0.120385233,543.5995185,414,171,1.704253612,5.202648475,799,0.943017657
Nov-16,33753,4888,1.636661211,0.572831424,1.657119476,0.429623568,0.081833061,0.634206219,0.388707038,559.103928,423,181,1.776595745,5.357815057,878,1.063829787
Dec-16,31392,4581,2.139270902,0.829513207,1.877319363,0.240122244,0.109146475,0.829513207,0.371098014,554.1366514,397,164,1.756821655,5.287055228,929,1.309757695
Feb-17,35969,5227,1.970537593,1.109623111,1.874880429,0.210445762,0.172182896,0.899177348,0.286971494,554.6776354,492,204,1.746125885,5.295389325,1016,0.860914482
Mar-17,29379,4275,1.871345029,0.795321637,1.450292398,0.187134503,0.233918129,0.748538012,0.210526316,557.1929825,316,135,1.775906433,5.34619883,884,1.076023392
May-17,33988,4992,2.043269231,0.821314103,1.762820513,0.140224359,0.180288462,1.001602564,0.220352564,549.6794872,397,163,1.745392628,5.29286859,934,1.221955128
Jun-17,30432,4435,2.367531003,0.879368658,1.240135287,0.135287486,0.360766629,0.67643743,0.112739572,551.6572717,403,169,1.74723788,5.309808343,915,1.488162345
Aug-17,31621,4622,1.601038511,0.908697534,1.406317611,0.108178278,0.1947209,0.757247945,0.108178278,552.0553873,403,172,1.745131977,5.294893985,905,0.692340978
Sep-17,33100,4824,1.388888889,1.077943615,1.285240464,0.228026534,0.248756219,0.663349917,0.08291874,554.9958541,385,165,1.754767828,5.31840796,899,0.310945274
Nov-17,32433,4677,1.325636092,1.047680137,1.368398546,0.256574727,0.149668591,0.427624546,0.106906136,560.3592046,387,167,1.752405388,5.290357066,910,0.277955955
Dec-17,28063,4093,1.343757635,0.903982409,0.952846323,0.024431957,0.293183484,0.268751527,0.024431957,551.6491571,415,165,1.739799658,5.24431957,803,0.439775226
Feb-18,32754,4699,1.234305171,1.213024048,1.596084273,0.340497978,0.297935731,0.70227708,0.127686742,560.2894233,516,212,1.755054267,5.308789104,924,0.021281124
Mar-18,30343,4365,1.443298969,0.733104238,1.443298969,0.09163803,0.274914089,0.549828179,0.045819015,556.4948454,512,202,1.735166094,5.258877434,839,0.710194731
May-18,30853,4486,1.783325903,0.713330361,1.382077575,0.089166295,0.156041016,0.601872492,0.156041016,548.5064646,509,209,1.719572002,5.22648239,836,1.069995542
Jun-18,39081,5734,1.639344262,0.645273805,1.587024765,0.174398326,0.261597489,0.819672131,0.226717824,545.1342867,566,233,1.700732473,5.218869899,969,0.994070457
Aug-18,27370,3980,1.934673367,0.502512563,1.256281407,0.301507538,0.150753769,0.552763819,0.075376884,549.5226131,423,185,1.740201005,5.272110553,802,1.432160804
Sep-18,29883,4288,1.725746269,0.699626866,2.192164179,0.20988806,0.116604478,0.816231343,0.046641791,560.3544776,445,187,1.755130597,5.331156716,805,1.026119403
Nov-18,28027,4021,1.616513305,0.795821935,1.790599353,0.149216613,0.298433226,0.696344193,0.223824919,559.164387,429,176,1.728923153,5.273315096,808,0.82069137
Dec-18,34358,4853,2.287245003,0.721203379,1.792705543,0.226663919,0.226663919,0.638780136,0.144240676,567.9991758,557,226,1.750463631,5.328662683,893,1.566041624
Feb-19,36202,5186,2.217508677,0.906286155,1.793289626,0.212109526,0.154261473,0.674893945,0.077130737,559.1207096,587,233,1.737562669,5.246818357,929,1.311222522
Mar-19,33346,4739,1.709221355,0.780755434,1.983540831,0.189913484,0.23211648,0.844059928,0.147710487,564.211859,535,215,1.763030175,5.321797848,869,0.928465921
May-19,34639,4989,1.523351373,1.282822209,1.803968731,0.100220485,0.220485067,0.922028463,0.080176388,556.3239126,504,211,1.714171177,5.265584285,861,0.240529164
Jun-19,34380,4954,2.18005652,0.746871215,1.836899475,0.161485668,0.14129996,0.706499798,0.121114251,554.5821558,543,210,1.729511506,5.284012919,868,1.433185305
Aug-19,35041,4999,1.880376075,0.76015203,2.280456091,0.220044009,0.220044009,0.560112022,0.140028006,558.9717944,595,236,1.74114823,5.273054611,835,1.120224045
Sep-19,37817,5443,2.590483189,0.698144406,2.112805438,0.165349991,0.238838876,0.863494396,0.183722212,552.9487415,669,274,1.718170127,5.210545655,946,1.892338784
Nov-19,35307,5057,2.274075539,0.435040538,2.293850109,0.177971129,0.158196559,0.949179355,0.158196559,560.0553688,520,215,1.736800475,5.263199525,908,1.839035001
Dec-19,34677,4984,1.665329053,0.561797753,1.865971108,0.22070626,0.120385233,0.742375602,0.140449438,558.1260032,539,220,1.728731942,5.239566613,889,1.1035313
Jan-20,36881,5297,2.322069096,0.849537474,2.038889938,0.132150274,0.151028884,0.604115537,0.056635832,558.3726638,606,249,1.727770436,5.249008873,931,1.472531622
Mar-20,49943,7268,2.834342323,0.495321959,1.141992295,0.233902036,0.233902036,0.564116676,0.24766098,552.2151899,795,356,1.763896533,5.314667034,1110,2.339020363
May-20,54984,8064,2.170138889,0.533234127,1.736111111,0.161210317,0.086805556,0.545634921,0.359623016,548.1274802,707,324,1.752728175,5.270833333,1334,1.636904762
Jun-20,52152,7631,2.057397458,0.484864369,1.821517494,0.222775521,0.117939982,0.668326563,0.314506618,546.6649194,764,330,1.724675665,5.224872232,1254,1.572533089
Aug-20,47273,6818,2.141390437,0.733352889,1.818715166,0.088002347,0.088002347,0.836022294,0.26400704,552.3467292,839,339,1.759606923,5.302434732,1210,1.408037548
Sep-20,36711,5360,1.697761194,0.615671642,1.548507463,0.093283582,0.130597015,0.485074627,0.186567164,546.7350746,638,254,1.729104478,5.193656716,941,1.082089552
Nov-20,46646,6773,1.520744131,0.693931788,1.328805551,0.118116049,0.177174074,0.472464196,0.634873763,550.1254983,818,333,1.720655544,5.186623357,1120,0.826812343
Dec-20,49350,7092,1.748448957,0.888324873,1.833051325,0.112803158,0.141003948,0.747320925,0.76142132,557.1489002,905,335,1.729554428,5.248025945,1147,0.860124083
Feb-21,49416,7138,1.821238442,0.952647801,1.372933595,0.308209583,0.070047632,0.602409639,0.630428692,553.6704959,902,347,1.729616139,5.201316895,1223,0.868590642
Mar-21,44361,6439,1.366671843,0.776518093,1.25795931,0.108712533,0.124242895,0.652275198,0.621214474,553.3623233,693,273,1.721540612,5.24118652,1041,0.590153751
May-21,46835,6780,1.607669617,1.002949853,1.430678466,0.088495575,0.206489676,0.619469027,0.545722714,552.300885,800,318,1.740412979,5.249852507,1071,0.604719764
Jun-21,47990,7013,1.454441751,0.926850135,1.026664765,0.114073863,0.285184657,0.513332383,0.442036218,547.4547269,756,308,1.743333809,5.257521745,1089,0.527591616
Aug-21,48716,7166,1.786212671,0.79542283,1.451297795,0.083728719,0.153502651,0.655874965,0.348869662,543.9296679,734,304,1.732626291,5.215182808,1084,0.990789841
Sep-21,56617,8256,1.623062016,0.763081395,1.138565891,0.072674419,0.230135659,0.714631783,0.327034884,551.5625,837,338,1.733648256,5.267320736,1205,0.85998062
Nov-21,60874,8876,1.892744479,0.585849482,1.126633619,0.112663362,0.270392068,0.416854439,0.123929698,549.7070753,974,396,1.721270843,5.218341595,1218,1.306894998
Dec-21,52217,7622,1.705589084,0.472316977,2.125426397,0.091839412,0.262398321,0.708475466,0.209918657,549.6720021,795,320,1.717003411,5.165966938,1082,1.233272107
Feb-22,57957,8544,1.5917603,0.608614232,1.474719101,0.152153558,0.117041199,0.514981273,0.292602996,544.6161049,816,356,1.701544944,5.164442884,1174,0.983146067
2020_sp,25291,3642,2.169137836,0.384404174,1.235584843,0.247116969,0.054914882,0.521691378,0.247116969,554.9972543,448,201,1.747391543,5.263591433,841,1.784733663
